name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Zaborzika,30379,Valid,L6,3867,Fell,1818,50.283330,27.683330,"(50.28333, 27.68333)"
Zabrodje,30380,Valid,L6,3000,Fell,1893,55.183330,27.916670,"(55.18333, 27.91667)"
Zag,30384,Valid,H3-6,175000,Fell,1998,27.333330,-9.333330,"(27.33333, -9.33333)"
Zagami,30386,Valid,Martian (shergottite),18000,Fell,1962,11.733330,7.083330,"(11.73333, 7.08333)"
Zaisan,30388,Valid,H5,463,Fell,1963,47.500000,83.000000,"(47.5, 83.0)"
Zaisho,30389,Valid,"Pallasite, PMG-an",330,Fell,1898,33.700000,133.800000,"(33.7, 133.8)"
Zaoyang,30391,Valid,H5,14250,Fell,1984,32.300000,112.750000,"(32.3, 112.75)"
Zavetnoe,30395,Valid,L6,800,Fell,1952,47.133330,43.900000,"(47.13333, 43.9)"
Zavid,30396,Valid,L6,95000,Fell,1897,44.400000,19.116670,"(44.4, 19.11667)"
Zebrak,30397,Valid,H5,2000,Fell,1824,49.883330,13.916670,"(49.88333, 13.91667)"
Zemaitkiemis,30399,Valid,L6,44100,Fell,1933,55.300000,25.000000,"(55.3, 25.0)"
Zhaodong,30404,Valid,L4,42000,Fell,1984,45.816670,125.916670,"(45.81667, 125.91667)"
Zhovtnevyi,30407,Valid,H6,107000,Fell,1938,47.583330,37.250000,"(47.58333, 37.25)"
Zhuanghe,30408,Valid,H5,2900,Fell,1976,39.666670,122.983330,"(39.66667, 122.98333)"
Zmenj,30411,Valid,Howardite,246,Fell,1858,51.833330,26.833330,"(51.83333, 26.83333)"
Zomba,30412,Valid,L6,7500,Fell,1899,-15.183330,35.283330,"(-15.18333, 35.28333)"
Zsadany,30413,Valid,H5,552,Fell,1875,46.933330,21.500000,"(46.93333, 21.5)"
Zvonkov,30415,Valid,H6,2568,Fell,1955,50.200000,30.250000,"(50.2, 30.25)"
Abajo,4,Valid,H5,331,Found,1982,26.800000,-105.416670,"(26.8, -105.41667)"
Abbott,5,Valid,H3-6,21100,Found,1951,36.300000,-104.283330,"(36.3, -104.28333)"
Abernathy,7,Valid,L6,2914,Found,1941,33.850000,-101.800000,"(33.85, -101.8)"
Abo,8,Valid,H,1.2,Found,1840,60.433330,22.300000,"(60.43333, 22.3)"
Abu Moharek,9,Valid,H4,4500,Found,1997,27.239440,29.835830,"(27.23944, 29.83583)"
Achilles,369,Valid,H5,16000,Found,1924,39.776670,-100.813330,"(39.77667, -100.81333)"
Ackerly,55379,Valid,L5,3046,Found,1995,32.590330,-101.772170,"(32.59033, -101.77217)"
